id,Brands,sites,Targeting,Название креатива,Ad copy format,Rotation type,Duration,Skippable,Sound,Start date,Stop date,Impression (plan),Frequency (Fact),Reach 1+ (fact),Impressions (fact),Impressions (delta),Click (fact),CTR % (fact),Viewable impressions (fact),Viewability rate % (fact),Views 25%,Views 50%,Views 75%,Views 100%,25%,25% sec,50%,50% (sec),75%,75% (sec),100%,100% sec
409,Бренд 1,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,skippable as of sec 5 - 10 -15,sound on / off,1.1.2024,7.1.2024,1375000,1.9,721837,1370457,-0%,12749,0.93%,801953,59%,1058819,899975,841500,801953,77%,3.8,66%,7.5,61%,11.3,59%,15.0
291,Бренд 1,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,skippable as of sec 5 - 10 -15,sound on / off,13.11.2023,19.11.2023,2000000,1.5,1368124,1996413,-0%,8954,0.45%,1168200,59%,1563649,1295510,1211270,1168200,78%,3.8,65%,7.5,61%,11.3,59%,15.0
283,Бренд 4 ,VK (Mytarget),"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ"",""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,10,skippable as of sec 5 - 10 -15,sound on / off,20.11.2023,26.11.2023,1000000,1.4,728070,999693,-0%,4540,0.45%,584906,59%,810851,724568,623679,584906,81%,2.5,72%,5.0,62%,7.5,59%,10.0
120,Бренд 1,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,skippable as of sec 5 - 10 -15,sound on / off,16.10.2023,22.10.2023,402083,1.4,286969,402084,0%,2915,0.72%,235032,58%,300408,254445,242368,235032,75%,3.8,63%,7.5,60%,11.3,58%,15.0
482,Бренд 1,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 5,sound off,29.1.2024,31.1.2024,1000000,1.5,1543224,2271107,127%,999,0.04%,1322135,58%,2025739,1709147,1500087,1322135,89%,3.8,75%,7.5,66%,11.3,58%,15.0
294,Бренд 1,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,skippable as of sec 5 - 10 -15,sound on / off,20.11.2023,26.11.2023,2000000,1.5,1303090,1984641,-1%,8709,0.44%,1152828,58%,1551724,1295703,1207663,1152828,78%,3.8,65%,7.5,61%,11.3,58%,15.0
114,Бренд 5,Yandex,W w/kids 6-8.   All Russia,,all-rolls,CPM,15,skippable as of sec 5,sound off,16.10.2023,22.10.2023,3000000,3.4,1267769,4294931,43%,13425,0.31%,2491919,58%,3786841,3095786,2740595,2491919,88%,3.8,72%,7.5,64%,11.3,58%,15.0
239,Бренд 5,Yandex,W w/kids 3-5.   All Russia,,all-rolls,CPM,15,skippable as of sec 5,sound off,6.11.2023,12.11.2023,1500000,1.7,1439820,2430889,62%,5742,0.24%,1406823,58%,2129601,1750352,1555651,1406823,88%,3.8,72%,7.5,64%,11.3,58%,15.0
91,Бренд 4 ,VK (Mytarget),"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ"",""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,skippable as of sec 5 - 10 -15,sound on / off,9.10.2023,15.10.2023,1237500,1.5,802436,1237500,0%,9268,0.75%,714727,58%,925166,783549,738201,714727,75%,3.8,63%,7.5,60%,11.3,58%,15.0
421,Бренд 4 ,VK (Mytarget),"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ"",""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,10,skippable as of sec 5 - 10 -15,sound on / off,27.11.2023,30.11.2023,571429,1.3,392571,521114,-9%,2328,0.45%,300933,58%,420410,373248,320131,300933,81%,2.5,72%,5.0,61%,7.5,58%,10.0
240,Бренд 5,Yandex,W w/kids 6-8.   All Russia,,all-rolls,CPM,15,skippable as of sec 5,sound off,6.11.2023,12.11.2023,1500000,1.7,1438044,2383842,59%,6596,0.28%,1374594,58%,2095895,1720482,1522150,1374594,88%,3.8,72%,7.5,64%,11.3,58%,15.0
411,Бренд 1,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,skippable as of sec 5 - 10 -15,sound on / off,8.1.2024,14.1.2024,1375000,1.9,727224,1359483,-1%,13694,1.01%,781355,57%,1051288,892929,826576,781355,77%,3.8,66%,7.5,61%,11.3,57%,15.0
147,Бренд 2,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,23.10.2023,29.10.2023,1375000,1.4,976725,1353330,-2%,9163,0.68%,776748,57%,1042117,859748,806966,776748,77%,3.8,64%,7.5,60%,11.3,57%,15.0
415,Бренд 1,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 5,sound off,1.1.2024,7.1.2024,3500000,1.5,4017412,5953092,70%,6246,0.10%,3367527,57%,5155820,4298050,3778570,3367527,87%,3.8,72%,7.5,63%,11.3,57%,15.0
51,Бренд 1,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,skippable as of sec 5 - 10 -15,sound on / off,1.10.2023,8.10.2023,991667,1.5,651631,991038,-0%,8250,0.83%,558273,56%,717320,612733,577845,558273,72%,3.8,62%,7.5,58%,11.3,56%,15.0
483,Бренд 1,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 5,sound off,1.2.2024,4.2.2024,1428571,1.4,1997674,2729312,91%,2166,0.08%,1537282,56%,2384716,1995996,1756332,1537282,87%,3.8,73%,7.5,64%,11.3,56%,15.0
212,Бренд 5,VK (Mytarget),W w/kids 6-8.   All Russia,,pre-rolls,CPM,15,unskippable,sound on,30.10.2023,5.11.2023,992471,1.6,602207,990438,-0%,9014,0.91%,549420,55%,682514,608956,571968,549420,69%,3.8,61%,7.5,58%,11.3,55%,15.0
104,Бренд 1,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,skippable as of sec 5 - 10 -15,sound on / off,9.10.2023,15.10.2023,1608333,1.6,1020480,1608335,0%,10726,0.67%,890416,55%,1209481,988168,926341,890416,75%,3.8,61%,7.5,58%,11.3,55%,15.0
138,Бренд 1,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,skippable as of sec 5 - 10 -15,sound on / off,23.10.2023,29.10.2023,402083,1.3,317260,402043,-0%,1821,0.45%,222246,55%,294106,246431,231347,222246,73%,3.8,61%,7.5,58%,11.3,55%,15.0
322,Бренд 3,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,27.11.2023,30.11.2023,1142857,1.6,715826,1112575,-3%,4227,0.38%,609585,55%,859768,715528,642602,609585,77%,3.8,64%,7.5,58%,11.3,55%,15.0
404,Бренд 2,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 5,sound off,15.1.2024,21.1.2024,3500000,1.6,3579429,5607626,60%,7634,0.14%,3065171,55%,4814157,3963007,3456580,3065171,86%,3.8,71%,7.5,62%,11.3,55%,15.0
436,Бренд 4 ,VK (Mytarget),"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ"",""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,10,skippable as of sec 5 - 10 -15,sound on / off,15.1.2024,21.1.2024,1375000,1.3,1029992,1375000,0%,7572,0.55%,750699,55%,1067532,853835,784591,750699,78%,2.5,62%,5.0,57%,7.5,55%,10.0
390,Бренд 2,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 5,sound off,1.1.2024,7.1.2024,3500000,1.6,3670204,5712474,63%,7551,0.13%,3114368,55%,4886834,3983427,3493259,3114368,86%,3.8,70%,7.5,61%,11.3,55%,15.0
122,Бренд 1,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 5,sound off,16.10.2023,22.10.2023,8000000,1.4,5730339,8179285,2%,24452,0.30%,4450085,54%,8140810,6362837,5338524,4450085,100%,3.8,78%,7.5,65%,11.3,54%,15.0
209,Бренд 2,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 5,sound off,6.11.2023,12.11.2023,6508725,1.4,5340933,7315178,12%,18090,0.25%,3977170,54%,6283191,5117604,4485833,3977170,86%,3.8,70%,7.5,61%,11.3,54%,15.0
13,Бренд 1,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 5,sound off,25.9.2023,30.9.2023,7457950,1.4,5347594,7663660,3%,13343,0.17%,4141411,54%,7410362,5781363,4854344,4141411,97%,3.8,75%,7.5,63%,11.3,54%,15.0
284,Бренд 4 ,Yandex,"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,10,skippable as of sec 5,sound off,13.11.2023,19.11.2023,5600000,1.8,3326193,5968999,7%,24581,0.41%,3223411,54%,5501990,4423409,3658909,3223411,92%,2.5,74%,5.0,61%,7.5,54%,10.0
320,Бренд 2,VK (Mytarget),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound on,27.11.2023,30.11.2023,785714,1.5,496596,763875,-3%,2276,0.30%,412233,54%,578227,461932,430354,412233,76%,3.8,60%,7.5,56%,11.3,54%,15.0
64,Бренд 4 ,VK (Mytarget),"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,skippable as of sec 5 - 10 -15,sound on / off,1.10.2023,8.10.2023,1414286,1.6,909538,1414089,-0%,12231,0.86%,756778,54%,1003679,837104,784238,756778,71%,3.8,59%,7.5,55%,11.3,54%,15.0
478,Бренд 3,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",Snow,all-rolls,CPM,15,skippable as of sec 5,sound off,1.2.2024,4.2.2024,571428,1.1,1068421,1176141,106%,1561,0.13%,625367,53%,1009129,823288,718289,625367,86%,3.8,70%,7.5,61%,11.3,53%,15.0
477,Бренд 3,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",Run,all-rolls,CPM,15,skippable as of sec 5,sound off,1.2.2024,4.2.2024,571428,1.1,823452,894903,57%,1180,0.13%,474458,53%,768736,624727,545525,474458,86%,3.8,70%,7.5,61%,11.3,53%,15.0
476,Бренд 3,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",Icecream,all-rolls,CPM,15,skippable as of sec 5,sound off,1.2.2024,4.2.2024,571428,1.1,1245785,1412900,147%,1890,0.13%,744378,53%,1213920,989390,859807,744378,86%,3.8,70%,7.5,61%,11.3,53%,15.0
423,Бренд 4 ,Yandex,"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,10,skippable as of sec 5,sound off,4.12.2023,10.12.2023,4000000,1.7,2432730,4109409,3%,7959,0.19%,2162616,53%,3754000,2979700,2473566,2162616,91%,2.5,73%,5.0,60%,7.5,53%,10.0
68,Бренд 5,VK (Mytarget),W w/kids 3-5.   All Russia,,pre-rolls,CPM,15,unskippable,sound on,1.10.2023,8.10.2023,1200000,1.4,771833,1091419,-9%,9506,0.87%,572103,52%,778992,648693,596869,572103,71%,3.8,59%,7.5,55%,11.3,52%,15.0
92,Бренд 2,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,9.10.2023,15.10.2023,4125000,1.9,514928,957998,-77%,11135,1.16%,501682,52%,509984,507862,505066,501682,53%,3.8,53%,7.5,53%,11.3,52%,15.0
125,Бренд 5,VK (NativeRoll),W w/kids 3-5.   All Russia,,pre-rolls,CPM,15,unskippable,sound off,16.10.2023,22.10.2023,3000000,1.8,1127251,2049034,-32%,38697,1.89%,1064924,52%,1110988,1094024,1079204,1064924,54%,3.8,53%,7.5,53%,11.3,52%,15.0
484,Бренд 4 ,Yandex,"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,10,skippable as of sec 5,sound off,29.1.2024,31.1.2024,1000000,1.4,1053238,1426625,43%,2505,0.18%,733879,51%,1205956,960596,834108,733879,85%,2.5,67%,5.0,58%,7.5,51%,10.0
417,Бренд 1,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 5,sound off,15.1.2024,21.1.2024,3500000,1.5,3415657,5062794,45%,5461,0.11%,2598258,51%,4328306,3502773,2995201,2598258,85%,3.8,69%,7.5,59%,11.3,51%,15.0
87,Бренд 5,Yandex,W w/kids 3-5.   All Russia,,all-rolls,CPM,15,skippable as of sec 5,sound off,9.10.2023,15.10.2023,3000000,1.9,2080970,4014948,34%,11539,0.29%,2047623,51%,3444825,2730165,2336700,2047623,86%,3.8,68%,7.5,58%,11.3,51%,15.0
426,Бренд 4 ,Yandex,"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,10,skippable as of sec 5,sound off,11.12.2023,17.12.2023,3419840,1.7,2094930,3468463,1%,5723,0.17%,1767576,51%,3171921,2453035,2027320,1767576,91%,2.5,71%,5.0,58%,7.5,51%,10.0
285,Бренд 4 ,Yandex,"""Женщины 25-45 с детьми, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,10,skippable as of sec 5,sound off,20.11.2023,26.11.2023,5600000,1.5,3651328,5629042,1%,21602,0.38%,2822484,50%,5133974,4009382,3258471,2822484,91%,2.5,71%,5.0,58%,7.5,50%,10.0
391,Бренд 2,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 5,sound off,8.1.2024,14.1.2024,3500000,1.5,3784853,5800888,66%,8440,0.15%,2888139,50%,4893683,3892913,3325835,2888139,84%,3.8,67%,7.5,57%,11.3,50%,15.0
163,Бренд 5,VK (Mytarget),W w/kids 3-5.   All Russia,,pre-rolls,CPM,15,unskippable,sound on,23.10.2023,29.10.2023,1000000,1.4,692951,979700,-2%,5663,0.58%,487500,50%,656871,550248,507646,487500,67%,3.8,56%,7.5,52%,11.3,50%,15.0
95,Бренд 5,VK (NativeRoll),W w/kids 6-8.   All Russia,,all-rolls,CPM,15,unskippable,sound off,9.10.2023,15.10.2023,3000000,1.9,1056945,2029202,-32%,34910,1.72%,1009310,50%,1043582,1034050,1024601,1009310,51%,3.8,51%,7.5,50%,11.3,50%,15.0
127,Бренд 5,VK (NativeRoll),W w/kids 6-8.   All Russia,,pre-rolls,CPM,15,unskippable,sound off,16.10.2023,22.10.2023,3000000,1.9,1056945,2029202,-32%,34910,1.72%,1009310,50%,1043582,1034050,1024601,1009310,51%,3.8,51%,7.5,50%,11.3,50%,15.0
123,Бренд 2,VK (NativeRoll),"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,pre-rolls,CPM,15,unskippable,sound off,16.10.2023,22.10.2023,4125000,2.0,3547266,7023429,70%,98096,1.40%,3474951,49%,3522563,3508410,3490355,3474951,50%,3.8,50%,7.5,50%,11.3,49%,15.0
94,Бренд 5,VK (NativeRoll),W w/kids 3-5.   All Russia,,all-rolls,CPM,15,unskippable,sound off,9.10.2023,15.10.2023,3000000,1.9,1057265,2030863,-32%,35887,1.77%,1004736,49%,1041101,1030942,1017438,1004736,51%,3.8,51%,7.5,50%,11.3,49%,15.0
324,Бренд 3,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 5,sound off,27.11.2023,30.11.2023,4000000,2.5,1993826,4954535,24%,11722,0.24%,2450648,49%,4267662,3337893,2787334,2450648,86%,3.8,67%,7.5,56%,11.3,49%,15.0
458,Бренд 2,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 5,sound off,22.1.2024,28.1.2024,3500000,1.4,2200982,3173405,-9%,4792,0.15%,1555483,49%,2692734,2133464,1817974,1555483,85%,3.8,67%,7.5,57%,11.3,49%,15.0
235,Бренд 5,Yandex,W w/kids 6-8.   All Russia,,all-rolls,CPM,15,skippable as of sec 5,sound off,30.10.2023,5.11.2023,2357000,1.7,1949715,3240170,37%,11163,0.34%,1587474,49%,2753066,2134580,1813554,1587474,85%,3.8,66%,7.5,56%,11.3,49%,15.0
279,Бренд 3,Yandex,"""Женщины 25-45 BC, десктоп+мобайл, частота = 2 в неделю, гео РФ""",,all-rolls,CPM,15,skippable as of sec 5,sound off,20.11.2023,26.11.2023,7000000,2.7,3163075,8535600,22%,34195,0.40%,4178522,49%,7400318,5762081,4754606,4178522,87%,3.8,68%,7.5,56%,11.3,49%,15.0
113,Бренд 5,Yandex,W w/kids 3-5.   All Russia,,all-rolls,CPM,15,skippable as of sec 5,sound off,16.10.2023,22.10.2023,3000000,1.8,1983469,3570026,19%,11097,0.31%,1740745,49%,3043090,2359787,1999215,1740745,85%,3.8,66%,7.5,56%,11.3,49%,15.0
